MD5KEY_ORDERSALE,ChangeReceived,OrderNumber,TaxAmount,MealLocation,TransactionId,StoreNumber,date
00BCB738A1F814DB960C25012E9913DF,0.0,67,0.56,0,67,46673,2015-03-05
03438C257BC2DD0037F35EC8BFC0C8E2,3.46,39,0.54,0,39,12631,2015-03-05
04AEF56CF3130AC1EFAD41C470F5245D,0.0,81,0.69,0,79,46673,2015-03-05
04BBFAD4E73C30EE2EC3B4E52509637C,0.0,159,1.16,0,159,12631,2015-03-05
061AE382DC127057E8ADBBF869CFB361,0.0,51,0.0,0,51,12631,2015-03-05
0653EFBC62931D45E96BFB82040123EA,94.01,83,0.49,0,83,12631,2015-03-05
0683B0A81C854E7BBE3B2CFD3D75D62C,0.0,40,0.0,0,40,12631,2015-03-05
072D3B76BE58E4553A373AF3206D2CA5,0.0,90,0.9,0,87,46673,2015-03-05
07436936F3929B875D3128106550394F,0.0,19,0.79,0,19,46673,2015-03-05
09F16AC6C629944163B1E60A4CF104F0,0.0,7,1.16,0,7,12631,2015-03-05
09F6BBFD8EE4B35CF5F2F9F0147A423D,5.91,26,0.34,0,26,12631,2015-03-05
0AAAFC1D4FBFF5ADFF1CD0DD2B154F3B,12.64,30,0.61,0,30,46673,2015-03-05
0BFDE2966D2892520F5680041D4AEE65,0.0,10,0.0,0,10,12631,2015-03-05
0D68791B2221340C81FBF66CA58438A8,0.0,90,0.0,0,90,12631,2015-03-05
0F2BD1182A7ADAAA3C420CAA93A435E2,0.0,22,0.7,0,22,46673,2015-03-05
0F3808BC4B349D91ED1C60F1ACD070D7,0.25,44,0.0,1,44,46673,2015-03-05
126CCCA70120EDBEACC272CFDC81DBCD,0.0,4,0.58,0,4,12631,2015-03-05
127659925065D77F9959BFF4F86270D4,0.0,64,0.0,0,64,12631,2015-03-05
136B81E3F2A1960BF07BCD69875FE3E3,0.0,8,0.89,0,8,46673,2015-03-05
13F0973010E55BD076BFDE38889EAE9A,0.62,76,1.68,0,74,46673,2015-03-05
14190C31384E60D8C67017BCE8954425,1.01,31,0.74,0,31,12631,2015-03-05
14811D4F3458058007B0B6908C2DA393,0.0,82,0.15,1,80,46673,2015-03-05
17E017714B2F03BDF663BFEC2FBAB86E,0.0,63,0.5,0,63,46673,2015-03-05
18C5845A314FA6935FC937F40F4B7FF8,13.45,117,0.54,0,117,12631,2015-03-05
19C197AEFABF3073F76AFE4587EB4577,12.81,161,0.59,0,161,12631,2015-03-05
1A0E054FFDD857634DD938E4F9CFA59A,0.0,89,1.13,0,89,12631,2015-03-05
1B0CC544CCAF7D50C86EEF4FD05C406E,0.0,58,1.01,0,58,46673,2015-03-05
1BC40FD64CA18F4A4F00231B0D5957B8,0.0,109,0.69,0,109,12631,2015-03-05
1C548A828CE4A74FC9DC3D8980FEC3D7,0.0,86,0.62,0,83,46673,2015-03-05
1E4831D05EAF7FA9241D9B49CE2BB633,0.0,64,0.57,0,64,46673,2015-03-05
1E739D78994A32D295D9C6B6F2D76025,0.86,77,1.99,0,75,46673,2015-03-05
1E84517A6752B9D81C4966F0FC2B8E8F,11.83,32,0.67,0,32,12631,2015-03-05
201166212AD6F5726D60BC3294CE69DF,0.0,33,0.54,0,33,46673,2015-03-05
20645C1CE48ABC38CB2A7B0334670E36,0.0,131,1.07,0,131,12631,2015-03-05
2118AD4FA464F566C0A08982CC0EEB7B,6.0,27,0.34,0,27,12631,2015-03-05
2153ABB98FA1E8BF9B4939C0B01D59D0,0.0,86,0.0,0,86,12631,2015-03-05
22731E363A7EFB5B3536851A19E8EDA8,4.0,34,0.54,0,34,46673,2015-03-05
22DC8CFBF6E7AD43CB741CD665561E06,0.0,80,0.0,0,80,12631,2015-03-05
22FA6C39B7A15ABB6EB568E66A6B30E1,3.46,98,0.54,0,98,12631,2015-03-05
23961C5C404864F48C31AF0E0DDFAF84,0.0,70,0.85,0,70,12631,2015-03-05
243465076C001A8435C3630939256B75,0.0,17,0.0,0,17,46673,2015-03-05
2596C3FFC808B31B92504E42820F5910,0.0,50,0.0,1,50,46673,2015-03-05
2617EA1B7565F052EAA400761F733F09,0.0,157,0.58,0,157,12631,2015-03-05
268A6D3963872AE2B533E1E402CEB9ED,0.0,114,0.0,0,114,12631,2015-03-05
26E62FF1702A7EECC3EE7ACCFE6780C0,0.0,142,0.8,0,142,12631,2015-03-05
29A77F8F38F3DA45BBD41DC682A67C24,0.0,53,0.0,0,53,12631,2015-03-05
2A0811762F04BF2071BAB68AFEC0D5EF,0.0,21,0.0,0,21,12631,2015-03-05
2A1C254C327B7F78293C1115DFBE92DD,12.65,139,0.6,0,139,12631,2015-03-05
2B591B7292F63BAAB55EB6F3C2CCC45E,0.0,48,0.54,0,48,46673,2015-03-05
2B6FD9058A4A28E5E298C95D3C615B27,0.0,89,0.54,0,86,46673,2015-03-05
2BBA84B82AF3DD43DA1ABDAAAA554042,13.46,23,0.54,0,23,46673,2015-03-05
2C186653B351DCA9B0C5B74EF13B9916,15.37,49,0.38,0,49,12631,2015-03-05
2C3CC614F4F889E56E445F9670D7DC1B,0.0,63,0.0,0,63,12631,2015-03-05
2C9DBE25703A62581E9B2B511C49D6AC,0.36,42,0.14,0,42,12631,2015-03-05
2D33DAE7DB2A5DAAD7855328B87951B1,0.0,75,0.0,0,92,46673,2015-03-05
307A8EA9F14F04D6DEFB8B213D2AF843,0.0,143,0.0,0,143,12631,2015-03-05
30AF56FCF6207AC96ACFD112996B9014,0.86,71,0.34,0,71,46673,2015-03-05
30CFA8F6360ED2FF29C73E0A3DA9AD54,0.0,24,0.12,0,24,46673,2015-03-05
31364A78E4F47C58475A8EA3449E94A8,0.0,36,0.0,0,36,46673,2015-03-05
32C3991098B413277C470B58F4D42839,0.0,37,0.0,0,37,12631,2015-03-05
337D6734C04A9421368B073AE7E33A85,13.46,30,0.54,0,30,12631,2015-03-05
33D44A08F0D9B57AEBA415ED48CF9D1E,0.0,113,0.0,0,113,12631,2015-03-05
343DC714D44F9A7F9BE410A6D6813241,0.0,65,0.0,0,65,12631,2015-03-05
35C11231646A07111786F3ABE667FF93,0.0,134,0.87,0,134,12631,2015-03-05
365987B7CEBFCF882BF578B650A75BFE,0.0,93,0.87,0,90,46673,2015-03-05
374E27B433E0B5191DA533443CBF18A9,0.0,115,0.0,0,115,12631,2015-03-05
39B1E5567CC7FBA093E7653E0BAADEC7,41.66,20,0.69,0,20,46673,2015-03-05
39DF8CC0E0128D9FE3B5AAA43F7B002A,5.01,126,0.49,0,126,12631,2015-03-05
39EEA7FA648C8EAF5CFB4B1EDD18E30F,0.2,132,0.8,0,132,12631,2015-03-05
3A6E64C67F8BB48DB69C598541528497,0.0,91,0.38,0,91,12631,2015-03-05
3B522C3A597772AD37B491D1897CB765,0.0,79,0.0,0,79,12631,2015-03-05
3C7CE071D56B59DE3E122F1E95F5F5D0,13.89,46,0.11,1,46,46673,2015-03-05
3C824861CAE31D7B26EEEC7F12443DA2,0.0,72,0.0,0,93,46673,2015-03-05
3D3F823E1E1D1D4080B7094D333DD1D9,0.51,150,0.94,0,150,12631,2015-03-05
3D7340D89C98E83F912926F6314CA2FB,4.2,39,1.3,0,39,46673,2015-03-05
3E02D28A8F98B224AC59C90258ACFB21,0.0,8,0.38,0,8,12631,2015-03-05
3E28FB3BA75FEEDF8BEBD8A4F4D4A887,2.92,28,0.58,0,28,12631,2015-03-05
3F5388CF45EB4FB3E5F589A2B4C3AD82,0.0,71,0.45,0,71,12631,2015-03-05
40BC83F5A1053148C5598136CB45EAAD,45.1,122,0.4,0,122,12631,2015-03-05
43A36CB7B8F291EEF7123CD2A4625D99,0.0,37,0.57,0,37,46673,2015-03-05
44D1A8347243446E02C717C7D6DE3A75,4.01,149,0.49,0,149,12631,2015-03-05
451E4078BF908C68F936E4696FE3E0CD,0.21,62,0.64,0,62,46673,2015-03-05
45337ED6B994D5B9DA3DED8A0DD37107,0.42,84,2.28,0,81,46673,2015-03-05
45F385DD722D75984AA472C3AF53AE3C,0.0,156,0.14,0,156,12631,2015-03-05
460FE75E4EA82012EBA5FC70EECD6825,0.0,6,0.0,0,6,46673,2015-03-05
461F6CC077A1629312F856442E828894,13.46,25,0.54,0,25,12631,2015-03-05
4652B04C7A442B5F8FA27826B5E2A0D4,14.28,40,0.47,0,40,46673,2015-03-05
4809E93E43BE4E3E7D1C5B6528A65766,0.0,9,0.0,1,9,46673,2015-03-05
493C8F025B95778F11354E19269D8490,0.0,34,0.58,0,34,12631,2015-03-05
49AF205491F565DBCF85DD20E9624754,0.0,31,0.19,0,31,46673,2015-03-05
4AB9973A7A30262E2FE2F122391C784C,2.02,138,1.07,0,138,12631,2015-03-05
4D9D20BF8FB97829E380B93D01A2269D,1.83,160,0.67,0,160,12631,2015-03-05
4DCDE7CDDAF07EFD0997740D52A5270B,15.5,16,0.0,1,16,46673,2015-03-05
50E824071803DC13476B445654F15085,0.0,87,0.0,0,87,12631,2015-03-05
51E1EFE12D078984D2F7150091BAD9BA,0.0,43,0.61,0,43,46673,2015-03-05
53DAB23FA4BE9B91B98B87472E8537AA,0.0,129,0.0,0,129,12631,2015-03-05
540F6D87B4CB5D28E0FDE8E051EC1FBB,6.97,94,1.08,0,91,46673,2015-03-05
54C0AAC9759B0E3F6D3C6E35B3EBBAA8,0.0,59,0.89,0,59,46673,2015-03-05
54F9B6360EADD3C6DD2FFBDE8A9DB351,0.37,18,0.38,0,18,12631,2015-03-05
56F93215B1A722CEAAB56ED9926FDFAF,0.0,97,0.38,0,97,12631,2015-03-05
5A3C75477697E093A0B8B81A43A60424,0.0,70,0.54,0,70,46673,2015-03-05
5D69DF9A04A20121C28740EE411370AF,0.0,84,0.59,0,84,12631,2015-03-05
5E5659DBE50E6FB511C279447E5870A5,0.01,120,0.49,0,120,12631,2015-03-05
5FBB45C83BAED01D3D73608891F146E9,1.29,145,0.71,0,145,12631,2015-03-05
60BBF8DD68D1CC115FEF089C696A358A,0.0,25,0.33,0,25,46673,2015-03-05
6117808FD27E5877C2AB904B275E7A5E,0.01,100,0.49,0,100,12631,2015-03-05
625788E585FB0B8C4ACD6D89195D5D93,0.0,118,0.76,0,118,12631,2015-03-05
63AA833A9B5F3333B3F21E07BEFB485E,0.0,13,0.0,0,13,12631,2015-03-05
